Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/Page_MTD_Spend_Monitoring_Data/Page_/div_mat-select-arrow-wrapper ng-tns-c110-12""))",Chrome 120.0.0.0,,,17-01-2024 16:10:08,17-01-2024 16:10:09,0.706s,PASSED
"click(findTestObject(""Object Repository/Page_MTD_Spend_Monitoring_Data/Page_/span_30""))",Chrome 120.0.0.0,,,17-01-2024 16:10:09,17-01-2024 16:10:09,0.564s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_MTD_Spend_Monitoring_Data/Page_/p_Monthly Spend Vs Target""), 0)",Chrome 120.0.0.0,,,17-01-2024 16:10:09,17-01-2024 16:10:10,0.709s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_MTD_Spend_Monitoring_Data/Page_/p_Monthly Spend Vs Target""), ""Monthly Spend Vs Target"")",Chrome 120.0.0.0,,,17-01-2024 16:10:10,17-01-2024 16:10:10,0.330s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_MTD_Spend_Monitoring_Data/Page_/div_Items per page""), 0)",Chrome 120.0.0.0,,,17-01-2024 16:10:10,17-01-2024 16:10:11,0.338s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_MTD_Spend_Monitoring_Data/Page_/div_Items per page""), ""Items per page:"")",Chrome 120.0.0.0,,,17-01-2024 16:10:11,17-01-2024 16:10:11,0.458s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_MTD_Spend_Monitoring_Data/Page_/div_mat-select-arrow ng-tns-c110-14""))",Chrome 120.0.0.0,,,17-01-2024 16:10:11,17-01-2024 16:10:12,0.449s,PASSED
"click(findTestObject(""Object Repository/Page_MTD_Spend_Monitoring_Data/Page_/div_mat-select-arrow ng-tns-c110-14""))",Chrome 120.0.0.0,,,17-01-2024 16:10:12,17-01-2024 16:10:12,0.392s,PASSED
"click(findTestObject(""Object Repository/Page_MTD_Spend_Monitoring_Data/Page_/span_20""))",Chrome 120.0.0.0,,,17-01-2024 16:10:12,17-01-2024 16:10:43,31.503s,PASSED
"click(findTestObject(""Object Repository/Page_MTD_Spend_Monitoring_Data/Page_/div_mat-select-arrow-wrapper ng-tns-c110-14""))",Chrome 120.0.0.0,,,17-01-2024 16:10:43,17-01-2024 16:10:44,0.684s,PASSED
"click(findTestObject(""Object Repository/Page_MTD_Spend_Monitoring_Data/Page_/span_10""))",Chrome 120.0.0.0,,,17-01-2024 16:10:44,17-01-2024 16:11:16,31.545s,PASSED
"click(findTestObject(""Object Repository/Page_MTD_Spend_Monitoring_Data/Page_/div_mat-select-arrow-wrapper ng-tns-c110-14""))",Chrome 120.0.0.0,,,17-01-2024 16:11:16,17-01-2024 16:11:16,0.738s,PASSED
"click(findTestObject(""Object Repository/Page_MTD_Spend_Monitoring_Data/Page_/span_5""))",Chrome 120.0.0.0,,,17-01-2024 16:11:16,17-01-2024 16:11:48,31.560s,PASSED
"click(findTestObject(""Object Repository/Page_MTD_Spend_Monitoring_Data/Page_/div_mat-select-arrow ng-tns-c110-14""))",Chrome 120.0.0.0,,,17-01-2024 16:11:48,17-01-2024 16:11:49,0.756s,PASSED
"click(findTestObject(""Object Repository/Page_MTD_Spend_Monitoring_Data/Page_/span_30""))",Chrome 120.0.0.0,,,17-01-2024 16:11:49,17-01-2024 16:12:20,31.619s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_MTD_Spend_Monitoring_Data/Page_/p_MTD Spend Vs Target by Channel""), 0)",Chrome 120.0.0.0,,,17-01-2024 16:12:20,17-01-2024 16:12:21,0.596s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_MTD_Spend_Monitoring_Data/Page_/p_MTD Spend Vs Target by Channel""), ""MTD Spend Vs Target by Channel"")",Chrome 120.0.0.0,,,17-01-2024 16:12:21,17-01-2024 16:12:21,0.353s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_MTD_Spend_Monitoring_Data/Page_/div_Items per page""), 0)",Chrome 120.0.0.0,,,17-01-2024 16:12:21,17-01-2024 16:12:22,0.354s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_MTD_Spend_Monitoring_Data/Page_/div_Items per page""), ""Items per page:"")",Chrome 120.0.0.0,,,17-01-2024 16:12:22,17-01-2024 16:12:22,0.398s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_MTD_Spend_Monitoring_Data/Page_/div_mat-select-arrow-wrapper ng-tns-c110-10""))",Chrome 120.0.0.0,,,17-01-2024 16:12:22,17-01-2024 16:12:23,0.423s,PASSED
"click(findTestObject(""Object Repository/Page_MTD_Spend_Monitoring_Data/Page_/div_mat-select-arrow-wrapper ng-tns-c110-10""))",Chrome 120.0.0.0,,,17-01-2024 16:12:23,17-01-2024 16:12:23,0.390s,PASSED
"click(findTestObject(""Object Repository/Page_MTD_Spend_Monitoring_Data/Page_/span_20""))",Chrome 120.0.0.0,,,17-01-2024 16:12:23,17-01-2024 16:12:54,31.477s,PASSED
"click(findTestObject(""Object Repository/Page_MTD_Spend_Monitoring_Data/Page_/div_mat-select-arrow ng-tns-c110-10""))",Chrome 120.0.0.0,,,17-01-2024 16:12:54,17-01-2024 16:12:55,0.707s,PASSED
"click(findTestObject(""Object Repository/Page_MTD_Spend_Monitoring_Data/Page_/span_10""))",Chrome 120.0.0.0,,,17-01-2024 16:12:55,17-01-2024 16:13:27,31.528s,PASSED
"click(findTestObject(""Object Repository/Page_MTD_Spend_Monitoring_Data/Page_/div_mat-select-arrow-wrapper ng-tns-c110-10""))",Chrome 120.0.0.0,,,17-01-2024 16:13:27,17-01-2024 16:13:27,0.710s,PASSED
"click(findTestObject(""Object Repository/Page_MTD_Spend_Monitoring_Data/Page_/span_5""))",Chrome 120.0.0.0,,,17-01-2024 16:13:27,17-01-2024 16:13:59,31.480s,PASSED
"click(findTestObject(""Object Repository/Page_MTD_Spend_Monitoring_Data/Page_/div_mat-select-arrow ng-tns-c110-10""))",Chrome 120.0.0.0,,,17-01-2024 16:13:59,17-01-2024 16:14:00,0.684s,PASSED
"click(findTestObject(""Object Repository/Page_MTD_Spend_Monitoring_Data/Page_/span_30""))",Chrome 120.0.0.0,,,17-01-2024 16:14:00,17-01-2024 16:14:31,31.388s,PASSED
,,,,,,,
Test Cases/Spend Monitoring/test_weekly_spend_monitoring_zoom,Chrome 120.0.0.0,,,17-01-2024 16:14:31,17-01-2024 16:14:37,6.160s,PASSED
"click(findTestObject(""Object Repository/Page_Weekly_Spend_Monitoring_Zoom/Page_/div_Weekly Spends Monitoring Report""))",Chrome 120.0.0.0,,,17-01-2024 16:14:31,17-01-2024 16:14:32,0.552s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_Weekly_Spend_Monitoring_Zoom/Page_/img""))",Chrome 120.0.0.0,,,17-01-2024 16:14:32,17-01-2024 16:14:33,0.999s,PASSED
"click(findTestObject(""Object Repository/Page_Weekly_Spend_Monitoring_Zoom/Page_/img""))",Chrome 120.0.0.0,,,17-01-2024 16:14:33,17-01-2024 16:14:33,0.376s,PASSED
delay(2),Chrome 120.0.0.0,,,17-01-2024 16:14:33,17-01-2024 16:14:35,2.019s,PASSED
